dm_sed reference,sgp_reference_id,sgp ref_short,sgp ref_long,sgp doi,sgp reference url,Added new samplenames?,Added new sitename?,Updated lithology?,notes
"Absar, N., M. Raza, M. Roy, S. Naqvi, and A. Roy. 2009. 'Composition and weathering conditions of Paleoproterozoic upper crust of Bundelkhand craton, Central India: Records from geochemistry of clastic sediments of 1.9Ga Gwalior Group', Precambrian Research, 168: 313-29.https://doi.org/10.1016/j.precamres.2008.11.001",720,Absar et al. 2009,"Absar, N., Raza, M., Roy, M., Naqvi, S.M. & Roy, A.K. (2009). Composition and weathering conditions of Paleoproterozoic upper crust of Bundelkhand craton, Central India: Records from geochemistry of clastic sediments of 1.9Ga Gwalior Group. Precambrian Research, 168, 313-329. https://doi.org/10.1016/j.precamres.2008.11.001",10.1016/j.precamres.2008.11.001,https://linkinghub.elsevier.com/retrieve/pii/S0301926808002465,TRUE,TRUE,,Added sample names and created a sitename
"Alexander, B. W., Bau, M., Andersson, P., & Dulski, P. (2008). Continentally-derived solutes in shallow Archean seawater: Rare earth element and Nd isotope evidence in iron formation from the 2.9Ga Pongola Supergroup, South Africa. Geochimica et Cosmochimica Acta, 72(2), 378–394.https://doi.org/10.1016/j.gca.2007.10.028",691,Alexander et al. 2008,"Alexander, B.W., Bau, M., Andersson, P. & Dulski, P. (2008). Continentally-derived solutes in shallow Archean seawater: Rare earth element and Nd isotope evidence in iron formation from the 2.9Ga Pongola Supergroup, South Africa. Geochimica et Cosmochimica Acta, 72, 378-394. https://doi.org/10.1016/j.gca.2007.10.028",10.1016/j.gca.2007.10.028,https://linkinghub.elsevier.com/retrieve/pii/S0016703707006394,,TRUE,,
"Alibert, C., & McCulloch, M.T. (1993) Rare-earth element and neodymium isotopic composition of the banded iron-formations and associated shales from Hamersley, western Australia. Geochimica et Cosmochimica Acta, 57, 187-204.https://doi.org/10.1016/0016-7037(93)90478-f",668,"Alibert & McCulloch, 1993","Alibert, C. & McCulloch, M.T. (1993). Rare earth element and neodymium isotopic compositions of the banded iron-formations and associated shales from Hamersley, western Australia. Geochimica et Cosmochimica Acta, 57, 187-204. https://doi.org/10.1016/0016-7037(93)90478-F",10.1016/0016-7037(93)90478-F,https://linkinghub.elsevier.com/retrieve/pii/001670379390478F,TRUE,TRUE,,"Added sample names from table in pub. Updated some sitenames, and sitetypes based on text. Did not update stratigraphy or lat-longs."
"Amajor, L. C. (1987). Major and trace element geochemistry of Albian and Turonian shales from the Southern Benue trough, Nigeria. Journal of African Earth Sciences (1983), 6(5), 633–641.https://doi.org/10.1016/0899-5362(87)90002-9",672,"Amajor, 1987","Amajor, L.C. (1987). Major and trace element geochemistry of Albian and Turonian shales from the Southern Benue trough, Nigeria. Journal of African Earth Sciences, 6, 633-641. https://doi.org/10.1016/0899-5362(87)90002-9",10.1016/0899-5362(87)90002-9,https://linkinghub.elsevier.com/retrieve/pii/0899536287900029,TRUE,TRUE,,Added sample names and created sitename.
"Armstrong-Altrin, John S., Ramasamy Nagarajan, Jayagopal Madhavaraju, Leticia Rosalez-Hoz, Yong Il Lee, Vysetti Balaram, Adriana Cruz-Martínez, and Gladis Avila-Ramírez. ""Geochemistry of the Jurassic and Upper Cretaceous Shales from the Molango Region, Hidalgo, Eastern Mexico: Implications for Source-Area Weathering, Provenance, and Tectonic Setting."" Comptes Rendus Geoscience 345, no. 4 (2013): 185-202. https://doi.org/10.1016/j.crte.2013.03.004.",686,Armstrong-Altrin et al. 2013,"Armstrong-Altrin, J.S., Nagarajan, R., Madhavaraju, J., Rosalez-Hoz, L., Lee, Y.Il, Balaram, V., Cruz-Martínez, A. & Avila-Ramírez, G. (2013). Geochemistry of the Jurassic and Upper Cretaceous shales from the Molango Region, Hidalgo, eastern Mexico: Implications for source-area weathering, provenance, and tectonic setting. Comptes Rendus. Géoscience, 345, 185-202. https://doi.org/10.1016/j.crte.2013.03.004",10.1016/j.crte.2013.03.004,https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.1016/j.crte.2013.03.004/,,,,
"Arthur, M.A., and Dean, W.E., 1998, Organic-matter production and preservation and evolution of anoxia in the Holocene Black Sea: Paleoceanography, v. 13, p. 395–411. doi: 10.1029/98PA01161.https://doi.org/10.1029/98pa01161",733,"Arthur & Dean, 1998","Arthur, M.A. & Dean, W.E. (1998). Organic‐matter production and preservation and evolution of anoxia in the Holocene Black Sea. Paleoceanography, 13, 395-411. https://doi.org/10.1029/98PA01161",10.1029/98PA01161,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/98PA01161,TRUE,,,Added sample name as concatentation - e.g. GC01- GC08- and GC09- + sampledepth_m. Dataset it from here: https://doi.pangaea.de/10.1594/PANGAEA.859233
"Arthur, Michael A., and Walter E. Dean. ""Organic‐Matter Production and Preservation and Evolution of Anoxia in the Holocene Black Sea."" Paleoceanography 13, no. 4 (1998): 395-411. https://doi.org/10.1029/98pa01161.",733,"Arthur & Dean, 1998","Arthur, M.A. & Dean, W.E. (1998). Organic‐matter production and preservation and evolution of anoxia in the Holocene Black Sea. Paleoceanography, 13, 395-411. https://doi.org/10.1029/98PA01161",10.1029/98PA01161,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/98PA01161,SEE ABOVE,,,
"Baioumy, Hassan, and Bernd Lehmann. ""Anomalous Enrichment of Redox-Sensitive Trace Elements in the Marine Black Shales from the Duwi Formation, Egypt: Evidence for the Late Cretaceous Tethys Anoxia."" Journal of African Earth Sciences 133 (2017): 7-14. https://doi.org/10.1016/j.jafrearsci.2017.05.006.",698,"Baioumy & Lehmann, 2017","Baioumy, H.M. & Lehmann, B. (2017). Anomalous enrichment of redox-sensitive trace elements in the marine black shales from the Duwi Formation, Egypt: Evidence for the late Cretaceous Tethys anoxia. Journal of African Earth Sciences, 133, 7-14. https://doi.org/10.1016/j.jafrearsci.2017.05.006",10.1016/j.jafrearsci.2017.05.006,https://linkinghub.elsevier.com/retrieve/pii/S1464343X17301875,,,,
"Baioumy, Hassan, Yuniarti Ulfa, Mohd Nawawi, Eswaran Padmanabhan, and Mohammad Noor Akmal Anuar. ""Mineralogy and Geochemistry of Palaeozoic Black Shales from Peninsular Malaysia: Implications for Their Origin and Maturation."" International Journal of Coal Geology 165 (2016): 90-105. https://doi.org/10.1016/j.coal.2016.08.007.",683,Baioumy et al. 2016,"Baioumy, H.M., Ulfa, Y., Nawawi, M., Padmanabhan, E. & Anuar, M.N. (2016). Mineralogy and geochemistry of Palaeozoic black shales from Peninsular Malaysia: Implications for their origin and maturation. International Journal of Coal Geology, 165, 90-105. https://doi.org/10.1016/j.coal.2016.08.007",10.1016/j.coal.2016.08.007,https://linkinghub.elsevier.com/retrieve/pii/S0166516216301288,TRUE,TRUE,TRUE,Sample names were half in samplename and half in site. Moved to samplename and updated sitenames with the numbers from the table in the paper + the state. Coded all as black shale instead of silicilclastic
"Baker, T. L. (1995). Elemental geochemistry and micropaleontology of an Upper Pennsylvanian black shale: The Haskell-Cass Cycle (Douglas Group), Southern Kansas. Masters Thesis. Texas Tech University. p. 152.",772,"Baker, 1995","Baker, T.L. (1995). Elemental geochemistry and micropaleontology of an Upper Pennsylvanian black shale: The Haskell-Cass Cycle (Douglas Group), Southern Kansas. [Master's thesis, Texas Tech University] http://hdl.handle.net/2346/12744",,http://hdl.handle.net/2346/12744,TRUE,,,Added samplename from table
